Designator,Mid X,Mid Y,Layer,Rotation
C1,24.500000,25.000000,top,90.000000
C2,24.500000,18.000000,top,90.000000
C3,24.500000,21.500000,top,90.000000
C4,20.500000,40.000000,top,90.000000
C5,21.000000,35.500000,top,90.000000
C6,-10.500000,36.000000,top,90.000000
C7,-2.500000,40.000000,top,90.000000
C8,-20.500000,40.000000,top,90.000000
C9,21.000000,-31.000000,top,0.000000
C10,20.500000,-20.000000,top,0.000000
C11,30.500000,-17.000000,top,90.000000
C12,30.500000,-20.000000,top,90.000000
C13,26.000000,-27.500000,top,0.000000
C14,-11.000000,12.000000,top,0.000000
C15,26.500000,-10.000000,top,90.000000
C16,20.500000,-26.000000,top,0.000000
C17,30.500000,-26.000000,top,270.000000
C18,30.500000,-23.000000,top,270.000000
C19,12.000000,-27.500000,top,0.000000
C20,-16.000000,-26.000000,top,0.000000
C21,30.800000,26.500000,top,270.000000
D1,-29.000000,-18.000000,top,90.000000
D2,24.000000,33.000000,top,0.000000
F1,17.500000,40.000000,top,90.000000
J2,8.000000,37.600000,top,0.000000
J3,-22.500000,18.000000,top,90.000000
R1,24.500000,14.500000,top,90.000000
R2,0.500000,40.000000,top,90.000000
R3,15.500000,40.000000,top,90.000000
R4,19.000000,32.799999,top,0.000000
R5,22.000000,-34.500000,top,0.000000
R6,27.000000,-34.500000,top,0.000000
R7,16.500000,-27.500000,top,0.000000
R8,17.500000,31.000000,top,0.000000
R9,17.500000,28.500000,top,0.000000
R10,21.000000,31.000000,top,0.000000
R11,21.000000,28.500000,top,0.000000
Ragnd,26.000000,-16.500000,top,0.000000
Rboot,24.500000,11.000000,top,90.000000
Rchg,28.000000,33.000000,top,0.000000
Rled,-29.000000,-22.000000,top,90.000000
Rsd0,-11.000000,25.000000,top,0.000000
Rsd1,-11.000000,22.500000,top,0.000000
Rsd2,-11.000000,20.000000,top,0.000000
Rsd3,-11.000000,17.500000,top,0.000000
Rsd4,-11.000000,15.000000,top,0.000000
Rstat,28.000000,36.000000,top,0.000000
SP1,0.000000,-36.000000,top,0.000000
SW1,-29.300000,-12.000000,top,270.000000
SW_BOOT,28.500000,-3.200000,top,90.000000
SW_RST,28.500000,5.000000,top,90.000000
U1,14.000000,18.000000,top,0.000000
U2,26.000000,-22.000000,top,0.000000
U3,24.000000,39.500000,top,180.000000
U4,-6.000000,39.500000,top,0.000000
U5,-16.000000,39.500000,top,0.000000
U6,12.000000,-31.000000,top,0.000000
U7,8.000000,31.000000,top,0.000000
U8,26.000000,-31.000000,top,0.000000
Y1,16.000000,-24.000000,top,0.000000
